iter	Passed	Remaining
590	20120	13924
591	20155	13891
592	20190	13857
593	20226	13824
594	20262	13792
595	20298	13759
596	20335	13727
597	20371	13694
598	20410	13664
599	20448	13632
600	20488	13602
601	20526	13570
602	20569	13542
603	20613	13514
604	20657	13487
605	20707	13463
606	20743	13429
607	20776	13395
608	20810	13360
609	20843	13326
610	20876	13291
611	20908	13255
612	20942	13221
613	20975	13186
614	21009	13152
615	21047	13120
616	21084	13088
617	21120	13055
618	21156	13022
619	21195	12990
620	21230	12957
621	21266	12924
622	21300	12889
623	21333	12854
624	21365	12819
625	21398	12784
626	21431	12749
627	21464	12714
628	21497	12679
629	21529	12644
630	21562	12609
631	21595	12574
632	21632	12541
633	21669	12509
634	21706	12476
635	21743	12444
636	21777	12410
637	21810	12375
638	21848	12343
639	21883	12309
640	21916	12274
641	21950	12240
642	21985	12206
643	22019	12172
644	22059	12141
645	22117	12119
646	22152	12086
647	22189	12053
648	22224	12019
649	22258	11985
650	22293	11951
651	22327	11917
652	22361	11882
653	22395	11848
654	22429	11813
655	22466	11780
656	22500	11746
657	22534	11712
658	22568	11677
659	22602	11643
660	22637	11610
661	22671	11575
662	22705	11541
663	22740	11507
664	22775	11473
665	22810	11439
666	22849	11407
667	22890	11376
668	22926	11343
669	22962	11309
670	22999	11277
671	23038	11244
672	23078	11213
673	23114	11179
674	23149	11146
675	23187	11113
676	23223	11079
677	23258	11046
678	23298	11014
679	23336	10982
680	23374	10949
681	23411	10915
682	23448	10883
683	23486	10850
684	23523	10817
685	23559	10783
686	23594	10749
687	23629	10715
688	23681	10689
689	23733	10662
690	23786	10636
691	23827	10605
692	23864	10571
693	23899	10537
694	23935	10504
695	23971	10470
696	24009	10437
697	24045	10403
698	24081	10369
699	24120	10337
700	24159	10304
701	24197	10271
702	24234	10238
703	24271	10205
704	24307	10171
705	24343	10137
706	24393	10109
707	24429	10075
708	24471	10044
709	24510	10011
710	24547	9977
711	24583	9943
712	24620	9910
713	24656	9876
714	24693	9842
715	24746	9815
716	24785	9782
717	24824	9750
718	24860	9716
719	24899	9683
720	24935	9649
721	24976	9616
722	25013	9583
723	25058	9552
724	25099	9520
725	25150	9492
726	25197	9462
727	25235	9428
728	25272	9395
729	25310	9361
730	25348	9327
731	25387	9295
732	25431	9263
733	25482	9234
734	25536	9207
735	25591	9179
736	25641	9150
737	25681	9117
738	25731	9087
739	25802	9065
740	25872	9043
741	25917	9011
742	25976	8985
743	26014	8951
744	26051	8916
745	26087	8882
746	26127	8849
747	26169	8816
748	26206	8781
749	26241	8747
750	26277	8712
751	26313	8677
752	26349	8643
753	26385	8608
754	26421	8573
755	26456	8539
756	26491	8503
757	26527	8469
758	26563	8434
759	26599	8399
760	26636	8365
761	26674	8331
762	26711	8297
763	26747	8262
764	26783	8227
765	26820	8193
766	26857	8158
767	26895	8124
768	26931	8089
769	26967	8055
770	27003	8020
771	27039	7985
772	27075	7950
773	27111	7916
774	27147	7881
775	27184	7847
776	27221	7812
777	27256	7777
778	27291	7742
779	27328	7707
780	27363	7672
781	27397	7637
782	27433	7602
783	27469	7568
784	27504	7533
785	27539	7498
786	27575	7463
787	27610	7428
788	27646	7393
789	27681	7358
790	27717	7323
791	27753	7288
792	27788	7253
793	27824	7218
794	27859	7183
795	27897	7149
796	27935	7115
797	27974	7081
798	28012	7046
799	28053	7013
800	28091	6979
801	28128	6944
802	28165	6909
803	28205	6875
804	28243	6841
805	28282	6807
806	28324	6774
807	28362	6739
808	28400	6705
809	28438	6670
810	28476	6636
811	28516	6602
812	28555	6568
813	28593	6533
814	28630	6498
815	28668	6464
816	28707	6430
817	28745	6395
818	28795	6363
819	28834	6329
820	28872	6294
821	28912	6260
822	28950	6226
823	28987	6191
824	29025	6156
825	29066	6123
826	29117	6091
827	29162	6057
828	29204	6024
829	29246	5990
830	29286	5956
831	29326	5921
832	29368	5887
833	29407	5853
834	29446	5818
835	29485	5784
836	29523	5749
837	29564	5715
838	29603	5680
839	29641	5646
840	29681	5611
841	29720	5576
842	29773	5545
843	29820	5511
844	29865	5478
845	29912	5445
846	29955	5411
847	30001	5377
848	30047	5344
849	30093	5310
850	30135	5276
851	30178	5242
852	30216	5207
853	30256	5172
854	30293	5137
855	30332	5102
856	30371	5067
857	30409	5032
858	30447	4997
859	30485	4962
860	30524	4927
861	30564	4893
862	30602	4858
863	30641	4823
864	30680	4788
865	30719	4753
866	30758	4718
867	30796	4683
868	30838	4648
869	30877	4613
870	30922	4579
871	30971	4546
872	31019	4512
873	31063	4478
874	31102	4443
875	31142	4408
876	31180	4373
877	31218	4337
878	31256	4302
879	31294	4267
880	31334	4232
881	31376	4197
882	31416	4162
883	31458	4127
884	31496	4092
885	31535	4057
886	31573	4022
887	31611	3987
888	31654	3952
889	31693	3917
890	31731	3881
891	31770	3846
892	31808	3811
893	31846	3775
894	31885	3740
895	31965	3710
896	32019	3676
897	32066	3642
898	32105	3606
899	32144	3571
900	32181	3536
901	32219	3500
902	32259	3465
903	32319	3432
904	32361	3397
905	32407	3362
906	32451	3327
907	32491	3292
908	32531	3256
909	32574	3221
910	32614	3186
911	32666	3152
912	32704	3116
913	32743	3080
914	32782	3045
915	32819	3009
916	32857	2974
917	32896	2938
918	32935	2902
919	32974	2867
920	33014	2831
921	33053	2796
922	33092	2760
923	33138	2725
924	33177	2690
925	33221	2654
926	33266	2619
927	33313	2584
928	33363	2549
929	33406	2514
930	33446	2478
931	33485	2443
932	33523	2407
933	33561	2371
934	33601	2335
935	33640	2300
936	33679	2264
937	33717	2228
938	33757	2192
939	33794	2157
940	33832	2121
941	33871	2085
942	33909	2049
943	33947	2013
944	33986	1978
945	34027	1942
946	34064	1906
947	34103	1870
948	34141	1834
949	34179	1798
950	34234	1763
951	34282	1728
952	34321	1692
953	34361	1656
954	34400	1620
955	34439	1585
956	34478	1549
957	34518	1513
958	34557	1477
959	34595	1441
960	34634	1405
961	34672	1369
962	34711	1333
963	34750	1297
964	34789	1261
965	34826	1225
966	34865	1189
967	34904	1153
968	34954	1118
969	34997	1082
970	35035	1046
971	35075	1010
972	35114	974
973	35153	938
974	35192	902
975	35230	866
976	35272	830
977	35316	794
978	35360	758
979	35401	722
980	35444	686
981	35483	650
982	35521	614
983	35561	578
984	35600	542
985	35638	506
986	35676	469
987	35715	433
988	35753	397
989	35793	361
990	35831	325
991	35871	289
992	35911	253
993	35950	217
994	35989	180
995	36030	144
996	36070	108
997	36109	72
998	36147	36
999	36186	0
