iter	Logloss
414	0.5499131179
415	0.5498887923
416	0.549822517
417	0.5497970856
418	0.5497276025
419	0.5496767628
420	0.5496338627
421	0.5495893393
422	0.5495291078
423	0.5494703608
424	0.5494214773
425	0.5493791275
426	0.5493317498
427	0.5493058835
428	0.5492511775
429	0.5491875348
430	0.5491534116
431	0.5490914308
432	0.5490431752
433	0.5489976473
434	0.5489245248
435	0.5488986733
436	0.5488498937
437	0.5488279232
438	0.5487516729
439	0.5487189677
440	0.5486597732
441	0.5486180289
442	0.5486150772
443	0.5485805475
444	0.5485060274
445	0.5484387966
446	0.5484005021
447	0.548363653
448	0.5483234135
449	0.5482789813
450	0.5482432286
451	0.5481867851
452	0.5481373271
453	0.5481025281
454	0.5480690729
455	0.5480282681
456	0.5479695649
457	0.5479269279
458	0.5478696377
459	0.5478250068
460	0.5477898668
461	0.5477423263
462	0.5476741768
463	0.5476463948
464	0.54761553
465	0.5475770893
466	0.5475318934
467	0.547477127
468	0.5474344405
469	0.547395253
470	0.5473467824
471	0.5473154512
472	0.5472687452
473	0.5472189682
474	0.5472026228
475	0.5471683965
476	0.5471210193
477	0.5470788529
478	0.5470485584
479	0.5470066971
480	0.546968193
481	0.5469130821
482	0.5468795216
483	0.546843116
484	0.54679646
485	0.5467590202
486	0.5467401176
487	0.5467055419
488	0.5466717222
489	0.5466516869
490	0.5466058626
491	0.5465610798
492	0.5465106842
493	0.5464846418
494	0.5464379103
495	0.5463905
496	0.5463484814
497	0.5463009828
498	0.5462730881
499	0.546245074
