iter	Logloss
0	0.6702154828
1	0.6517068188
2	0.6369587802
3	0.6253764087
4	0.615709253
5	0.6083555642
6	0.6019342762
7	0.5966784309
8	0.5926453806
9	0.5896051184
10	0.5867681511
11	0.5845438182
12	0.5828749479
13	0.5813255689
14	0.5799026091
15	0.5786920745
16	0.577719936
17	0.5768559404
18	0.5760438051
19	0.5754458407
20	0.5749400798
21	0.5743966597
22	0.5739892911
23	0.5736766192
24	0.5733394476
25	0.5730038349
26	0.5726823121
27	0.5724570669
28	0.5722304873
29	0.5720188105
30	0.5718267139
31	0.5716493107
32	0.5714536323
33	0.5712695917
34	0.5711210466
35	0.5709694964
36	0.5708578478
37	0.5707045065
38	0.5705120975
39	0.5704249901
40	0.5703076839
41	0.5702051298
42	0.5701096706
43	0.5700334981
44	0.5699252693
45	0.5698538514
46	0.5698058798
47	0.5696744361
48	0.5695761164
49	0.5695235514
50	0.5694214436
51	0.5693352214
52	0.5691837036
53	0.5691008552
54	0.5690358824
55	0.5689562914
56	0.5688657867
57	0.568768026
58	0.5686888833
59	0.5686159829
60	0.5685457569
61	0.5684809049
62	0.5684137722
63	0.5683465142
64	0.5682892956
65	0.5682161752
66	0.5681584262
67	0.5681173876
68	0.5680620769
69	0.5679934137
70	0.567908891
71	0.567884134
72	0.5678202276
73	0.5677460022
74	0.5676686824
75	0.5676186229
76	0.5675515685
77	0.5674791066
78	0.5674405929
79	0.5673862415
80	0.5672972294
81	0.5672169483
82	0.5671848466
83	0.5671427599
84	0.5670769351
85	0.5669874461
86	0.5668931381
87	0.5668286252
88	0.5667622078
89	0.5666882955
90	0.5666447543
91	0.5665784445
92	0.5665338197
93	0.5664981546
94	0.5664191543
95	0.5663682378
96	0.5663139501
97	0.5662634262
98	0.5661923558
99	0.5661522887
100	0.5661073439
101	0.5660334692
102	0.5660013403
103	0.5659399084
104	0.5658780122
105	0.5658328436
106	0.565790541
107	0.5657457951
108	0.5656898698
109	0.5656396156
110	0.5656136215
111	0.565584018
112	0.5655481518
113	0.5654994307
114	0.5654994292
115	0.5654339931
116	0.5653817301
117	0.5653197904
118	0.5652686755
119	0.5651915909
120	0.5651481381
121	0.5651024283
122	0.5650219746
123	0.5649548153
124	0.5648851958
125	0.5648344911
126	0.5647733043
127	0.5647339483
128	0.5646721045
129	0.5646013442
130	0.5645609116
131	0.5644896037
132	0.5644261102
133	0.5643688099
134	0.5642938754
135	0.5642326873
136	0.5641608524
137	0.5640848228
138	0.5640076344
139	0.5639418264
140	0.5638811678
141	0.5638340343
142	0.5637881463
143	0.563726094
144	0.5636570818
145	0.5635874501
146	0.5635367215
147	0.5634747691
148	0.5634199243
149	0.5633520946
150	0.5633057634
151	0.5632663431
152	0.5632029377
153	0.5631490018
154	0.563095208
155	0.5630569716
156	0.5630089964
157	0.5629429672
158	0.5628723355
159	0.5628068886
160	0.5627325722
161	0.5626517015
162	0.5625949771
163	0.562540676
164	0.5624702265
165	0.5623985679
166	0.5623478403
167	0.5622688474
168	0.5622070379
169	0.5621604584
170	0.5620868404
171	0.5620354208
172	0.5619707902
173	0.5619194558
174	0.5618592407
175	0.5618399871
176	0.5617921678
177	0.5617246635
178	0.5616557608
179	0.5615894733
180	0.5615397486
181	0.5614745603
182	0.5614281154
183	0.5613790204
184	0.5613170035
185	0.5612776451
186	0.5612187768
187	0.5611554944
188	0.5610850442
189	0.5610295586
190	0.5610025158
191	0.5609606153
192	0.5608789289
193	0.5608156618
194	0.5607484774
195	0.56069373
196	0.5606729368
197	0.5606071263
198	0.5605840388
199	0.5605138207
200	0.5604563753
201	0.560403944
202	0.5603555112
203	0.560323702
204	0.5602666305
205	0.5602090044
206	0.5601900374
207	0.5601309836
208	0.5600828135
209	0.5600110879
210	0.5599791438
211	0.5598910913
212	0.5598347158
213	0.5597602475
214	0.5597093789
215	0.5596631958
216	0.5596044348
217	0.559550848
218	0.5594824921
219	0.559424668
220	0.5593619954
221	0.5592833057
222	0.559207452
223	0.5591549306
224	0.5591050617
225	0.5590265595
226	0.5589791519
227	0.5589200235
228	0.5588766835
229	0.558841699
230	0.5587765825
231	0.5587150735
232	0.558680522
233	0.5586195223
234	0.5585854655
235	0.5585329273
236	0.5584795356
237	0.5584428623
238	0.5583785901
239	0.55833476
240	0.558292117
241	0.5582230929
242	0.5581673785
243	0.5581122826
244	0.5580745215
245	0.5580437793
246	0.5580052351
247	0.5579472869
248	0.557891749
249	0.5578422004
250	0.5577876203
251	0.5577268504
252	0.5576811572
253	0.5576189856
254	0.5575824971
255	0.5575516211
256	0.5575233778
257	0.5574688167
258	0.5574146073
259	0.5573882829
260	0.5573445493
261	0.5573030191
262	0.5572747862
263	0.5572214164
264	0.5571526204
265	0.5570961709
266	0.5570192656
267	0.5569535914
268	0.5568907768
269	0.556835343
270	0.5568312363
271	0.55676551
272	0.5567293281
273	0.5566869817
274	0.5566372947
275	0.5565879419
276	0.55653706
277	0.5564823623
278	0.5564390537
279	0.5563794183
280	0.5563376598
281	0.5562834586
282	0.5562236261
283	0.5561680266
284	0.556149765
285	0.5561033101
286	0.5560767669
287	0.5560117291
288	0.5559612046
289	0.5558955951
290	0.555837071
291	0.5557850475
292	0.555742621
293	0.5556589614
294	0.5556067384
295	0.5555621654
296	0.5555136359
297	0.5554438783
298	0.555394365
299	0.5553405781
300	0.55527868
301	0.5552278988
302	0.5551744211
303	0.5551237846
304	0.5550621732
305	0.5550119152
306	0.55495392
307	0.5549293542
308	0.554883486
309	0.5548668491
310	0.5548116717
311	0.5547704382
312	0.5547043595
313	0.55464204
314	0.5545675862
315	0.5545326145
316	0.554492149
317	0.5544216602
318	0.5543687212
319	0.5543277633
320	0.5542916521
321	0.5542471592
322	0.5542003355
323	0.554152875
324	0.5541009749
325	0.5540680385
326	0.5540267144
327	0.5539834693
328	0.5539397253
329	0.5538784933
330	0.5538338173
331	0.5537905029
332	0.5537403972
333	0.5536884862
334	0.5536387464
335	0.5535790839
336	0.5535267204
337	0.5534650873
338	0.5534393123
339	0.5533869874
340	0.5533317606
341	0.5532764151
342	0.5532280116
343	0.5531610948
344	0.5530937374
345	0.5530414055
346	0.5529676297
347	0.552911688
348	0.552862723
349	0.5528324045
350	0.5528077244
351	0.5527402096
352	0.5526968887
353	0.5526603579
354	0.5526396448
355	0.5526006006
356	0.5525612518
357	0.5525125005
358	0.5524649754
359	0.5524378371
360	0.5524101688
361	0.5523582466
362	0.552309696
363	0.5522512446
364	0.552210865
365	0.5521918465
366	0.5521213986
367	0.5520774174
368	0.5520360353
369	0.5519924447
370	0.551948284
371	0.5518989065
372	0.551858074
373	0.5518287852
374	0.5518005931
375	0.5517584402
376	0.5517182433
377	0.5516543632
378	0.5516269108
379	0.551590536
380	0.551529657
381	0.5514737302
382	0.551421693
383	0.5513613275
384	0.5513198029
385	0.551293448
386	0.5512356115
387	0.5511799652
388	0.5511491519
389	0.5511197213
390	0.5510745823
391	0.5510041258
392	0.5509799695
393	0.5509193545
394	0.5508726318
395	0.550830528
396	0.5507790907
397	0.5507347545
398	0.550693741
399	0.5506269584
400	0.5505869081
401	0.5505559467
402	0.550484649
403	0.5504111507
404	0.5503633388
405	0.5503113087
406	0.5502640782
407	0.5502275829
408	0.5502047317
409	0.5501409505
410	0.5501041465
411	0.5500544349
412	0.5500279958
413	0.5499705352
